"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"Environmental Microbiology Reports","ecology","Wiley","For-profit","hybrid","Applied Microbiology International","Society","https://sfamjournals.onlinelibrary.wiley.com/journal/17582229","2550","0.972","none"
"Environmental Science and Pollution Research","ecology","Springer","For-profit","hybrid","European Chemical Society","Society","https://www.springer.com/journal/11356","2890","0.94","none"
"Environmental Toxicology and Chemistry","ecology","Wiley","For-profit","hybrid","Society of Environmental Toxicology and Chemistry","Society","https://setac.onlinelibrary.wiley.com/journal/15528618","2270","1.025","none"
"Frontiers in Ecology and the Environment","ecology","Wiley","For-profit","hybrid","Ecological Society of America","Society","https://esajournals.onlinelibrary.wiley.com/journal/15409309","3000","3.51","none"
"ICES Journal of Marine Science","ecology","Oxford University Press","University Press","OA","International Council for the Exploration of the See","Society","https://academic.oup.com/icesjms","3082","0.94","none"
"Peer Community In Ecotoxicology and Environmental Chemistry","ecology","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://ecology.peercommunityin.org/","0","","PCI"
"Phytobiomes Journal","ecology","APS Publications","Non-profit","hybrid","The American Phytopathological Society","Society","https://apsjournals.apsnet.org/journal/pbiomes","1722","1.04","none"
"Basic and Applied Ecology","ecology","Elsevier","For-profit","OA","Ecological Society of Germany / Austria and Switzerland","Society","https://www.journals.elsevier.com/basic-and-applied-ecology","1676","0.933","none"
"Bulletin of the Ecological Society of America","ecology","Wiley","For-profit","hybrid","Ecological Society of America","Society","https://esajournals.onlinelibrary.wiley.com/journal/23276096","3000","","none"
"Ecological Monographs","ecology","Wiley","For-profit","hybrid","Ecological Society of America","Society","https://esajournals.onlinelibrary.wiley.com/journal/15577015","3000","3.58","none"
"Ecological Research","ecology","Wiley","For-profit","hybrid","The Ecological Society of Japan","Society","https://esj-journals.onlinelibrary.wiley.com/journal/14401703","2500","0.575","none"
"Ecology","ecology","Wiley","For-profit","hybrid","Ecological Society of America","Society","https://esajournals.onlinelibrary.wiley.com/journal/19399170","3000","2.021","none"
"Ecology Letters","ecology","Wiley","For-profit","hybrid","Centre National de la Recherche Scientifique","Uni/Gov","https://onlinelibrary.wiley.com/journal/14610248","4230","5.673","PCI friendly"
"Ecoscience","ecology","Taylor & Francis","For-profit","hybrid","Universite Laval","Uni/Gov","https://www.tandfonline.com/toc/teco20/current","3170","0.387","none"
"Ecosphere","ecology","Wiley","For-profit","OA","Ecological Society of America","Society","https://esajournals.onlinelibrary.wiley.com/journal/21508925","1700","1.151","none"
"Functional Ecology","ecology","Wiley","For-profit","hybrid","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/13652435","2830","2.03","none"
"International Journal of Remote Sensing","ecology","Taylor & Francis","For-profit","hybrid","Remote Sensing and Photogrammetry Society","Society","https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=tres20","2415","0.873","none"
"Journal of Chemical Ecology","ecology","Springer","For-profit","hybrid","International Society of Chemical Ecology /  Asia-Pacific Association of Chemical Ecologists / Latin American Association of Chemical Ecology","Society","https://www.springer.com/journal/10886","2690","0.747","none"
"Journal of Ecology","ecology","Wiley","For-profit","hybrid","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/13652745","2830","2.193","none"
"Oikos","ecology","Wiley","For-profit","hybrid","Nordic Society Oikos","Society","https://onlinelibrary.wiley.com/journal/16000706","2480","1.46","PCI friendly"
"Peer Community In Ecology","ecology","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://ecology.peercommunityin.org/","0","","PCI"
"Polish Journal of Ecology","ecology","BioOne Complete","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Society","https://bioone.org/journals/polish-journal-of-ecology","","0.206","none"
"Population Ecology","ecology","Wiley","For-profit","hybrid","Society of Population Ecology","Society","https://esj-journals.onlinelibrary.wiley.com/journal/1438390x","2500","0.863","none"
"Web Ecology","ecology","Copernicus Publications","Non-profit","diamond_OA","European Ecological Federation","Society","https://www.web-ecology.net/","0","0.443","none"
"Acta Amazonica","ecology","Instituto Nacional de Pesquisas da Amazonia","Non-profit","diamond_OA","Instituto Nacional de Pesquisas da Amazonia","Uni/Gov","https://acta.inpa.gov.br/","0","0.306","none"
"African Journal of Ecology","ecology","Wiley","For-profit","hybrid","The East African Wildlife Society","Society","https://onlinelibrary.wiley.com/journal/13652028","2780","0.479","none"
"Annals of Forest Science","ecology","Springer Nature","For-profit","OA","INRAE","Uni/Gov","https://annforsci.biomedcentral.com/","1750","0.802","PCI friendly"
"Austral Ecology","ecology","Wiley","For-profit","hybrid","Ecological Society of Australia","Society","https://onlinelibrary.wiley.com/journal/14429993","2650","0.643","none"
"Biota Neotropica","ecology","Scielo","Non-profit","OA","Program BIOTA/FAPESP: The Virtual Institute of Biodiversity","other","https://www.biotaneotropica.org.br/","420","0.452","none"
"Biotropica","ecology","Wiley","For-profit","hybrid","Association for Tropical Biology & Conservation","Society","https://onlinelibrary.wiley.com/journal/17447429","2000","0.834","none"
"Bulletin of Marine Science","ecology","Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami","Non-profit","hybrid","Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami","Uni/Gov","http://bullmarsci.org/","1201","0.415","none"
"Canadian Journal of Forest Research","ecology","Canadian Science Publishing","Non-profit","hybrid","Canadian Society of Ecology ad Evolution","Society","https://cdnsciencepub.com/journal/cjfr","3028","0.596","none"
"Ecologia Mediterranea","ecology","Naturalia Publications","Non-profit","subscription","Institut Mediterraneen de Biodiversite et d'Ecologie","Uni/Gov","https://ecologia-mediterranea.univ-avignon.fr/","","0.154","none"
"Estuarine Coastal and Shelf Science","ecology","Elsevier","For-profit","hybrid","Estuarine Coastal Sciences Association","Society","https://www.journals.elsevier.com/estuarine-coastal-and-shelf-science","3026","0.875","none"
"European Journal of Soil Science","ecology","Wiley","For-profit","hybrid","British Society of Soil Science","Society","https://bsssjournals.onlinelibrary.wiley.com/journal/13652389","3700","1.4","none"
"Folia Amazonica","ecology","Instituto de Investigaciones de la Amazona Peruana","Non-profit","diamond_OA","Instituto de Investigaciones de la Amazona Peruana","Uni/Gov","http://revistas.iiap.gob.pe/index.php/foliaamazonica/","0","0.12","none"
"Freshwater Science","ecology","The University of Chicago Press Journals","University Press","hybrid","Society of Freshwater Science","Society","https://www.journals.uchicago.edu/toc/fws/current","1700","0.68","none"
"Journal of Arid Land","ecology","Springer","For-profit","hybrid","Xinjiang Institute of Ecology and Geography","Uni/Gov","https://www.springer.com/journal/40333","2190","0.607","none"
"Journal of Coastal Research","ecology","Coastal Education and Research Foundation","Non-profit","Subscription","Coastal Education and Research Foundation","Society","https://meridian.allenpress.com/jcr","","0.237","none"
"Journal of Ecohydraulics","ecology","Taylor & Francis","For-profit","hybrid","International Association for Hydro-Environment Engineering and Research","Society","https://www.tandfonline.com/journals/tjoe20","3170","0.676","none"
"Journal of Limnology","ecology","PagePress","For-profit","OA","Water Research Institute","Uni/Gov","https://www.jlimnol.it/index.php/jlimnol","600","0.468","none"
"Journal of the Marine Biological Association of the United Kingdom","ecology","Cambridge University Press","For-profit","hybrid","Marine Biological Association UK","Non-profit","https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom","3040","0.436","none"
"Marine Ecology Progress Series","ecology","InterResearch","For-profit","hybrid","International Ecology Institute","Uni/Gov","https://www.int-res.com/journals/meps/meps-home/","2000","0.913","none"
"Mediterranean Marine Science","ecology","Hellenic Centre for Marine Research","Non-profit","diamond_OA","Hellenic Centre for Marine Research","Uni/Gov","https://ejournals.epublishing.ekt.gr/index.php/hcmr-med-mar-sc/","0","0.673","none"
"New Zealand Journal of Ecology","ecology","New Zealand Ecological Society","Non-profit","OA","New Zealand Ecological Society","Society","https://newzealandecology.org/nzje","226","0.766","none"
"Pedosphere","ecology","Elsevier","For-profit","subscription","Soil Science Society of China and the Institute of Soil Science /  Chinese Academy of Sciences","Society","https://www.sciencedirect.com/journal/pedosphere","","1.066","none"
"Peer Community In Forest and Wood Sciences","ecology","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://ecology.peercommunityin.org/","0","","PCI"
"Scientia Marina","ecology","CSIC","Non-profit","diamond_OA","Institut de Ciencies del Mar de Barcelona","Uni/Gov","https://scientiamarina.revistas.csic.es/index.php/scientiamarina","0","0.497","none"
"Silva Balcanica","ecology","Pensoft","Non-profit","diamond_OA","Forest Research Institute ??? Bulgarian Academy of Sciences","Uni/Gov","https://silvabalcanica.pensoft.net/","0","","none"
"Tropical Ecology","ecology","Springer","For-profit","hybrid","International Society for Tropical Ecology","Society","https://www.springer.com/journal/42965","2390","0.396","none"
"Urban Ecosystems","ecology","Springer","For-profit","hybrid","Society for Urban Ecology","Society","https://link.springer.com/journal/11252","2890","0.811","none"
"Vie et Milieu - Life and environment","ecology","Arago - Sorbonne Universite  Region Languedoc Roussillon","Non-profit","subscription","Observatoire oceanologique / Laboratoire Arago","Uni/Gov","https://wwwphp.obs-banyuls.fr/Viemilieu/","","0.239","none"
"Wetland Science and Practice","ecology","BioOne Complete","Non-profit","subscription","Society of Wetland Scientists","Society","https://complete.bioone.org/journals/wetland-science-and-practice/","","","none"
"Wetlands","ecology","Springer","For-profit","hybrid","Society of Wetland Scientists","Society","https://www.springer.com/journal/13157/","2690","0.617","none"
"African Journal of Range & Forage Science","ecology","Taylor & Francis","For-profit","hybrid","Grassland Society of Southern Africa","Society","https://www.tandfonline.com/journals/tarf20","2895","0.381","none"
"Biogeographia","ecology","eScholarship","Non-profit","diamond_OA","Italian Biogeography Society","Society","https://escholarship.org/uc/biogeographia","0","0.28","none"
"Ecography","ecology","Wiley","For-profit","OA","Nordic Society Oikos","Society","https://onlinelibrary.wiley.com/journal/16000587","2480","2.37","none"
"Frontiers of Biogeography","ecology","eScholarship","University Press","OA","International Biogeography Society","Society","https://escholarship.org/uc/fb","330","0.661","PCI friendly"
"Journal of Vegetation Science","ecology","Wiley","For-profit","hybrid","International Association for Vegetation Science","Society","https://onlinelibrary.wiley.com/journal/16541103","3260","1.01","none"
"Landscape Ecology","ecology","Springer","For-profit","hybrid","International Association for Landscape Ecology","Society","https://www.springer.com/journal/10980","3390","1.47","none"
"Vegetation Classification and Survey","ecology","Pensoft","For-profit","OA","International Association for Vegetation Science","Society","https://vcs.pensoft.net/","825","0.34","none"
"Agronomy for Sustainable Development","ecology","Springer","For-profit","hybrid","INRAE","Uni/Gov","https://www.springer.com/journal/13593","2265","1.509","PCI friendly"
"Aquatic Living Resources","ecology","EDP Science","For-profit","diamond_OA","Institut de Recherche pour le Developpement / IFREMER","Uni/Gov","https://www.alr-journal.org/","0","0.389","none"
"Ecology and Society","ecology","Resilience Alliance/Ecology & Society","Non-profit","OA","Ecology & Society","Society","https://ecologyandsociety.org/","893","1.188","none"
"Elementa","ecology","University of California Press","University Press","OA","University of California","Uni/Gov","https://online.ucpress.edu/elementa/","1787","1.037","none"
"Human-Wildlife Interactions","ecology","Jack H Berryman Institute","University Press","OA","Utah State University","Uni/Gov","https://digitalcommons.usu.edu/hwi/","1100","0.342","none"
"Journal of Economic Entomology","ecology","Oxford University Press","University Press","hybrid","Entomological Society of America","Society","https://academic.oup.com/jee/pages/About","3784","0.698","none"
"Journal of Sustainable Agriculture and Environment","ecology","Wiley","For-profit","OA","Global Initiative of Crop Microbiome and Sustainable Agriculture","Society","https://onlinelibrary.wiley.com/journal/2767035x","1800","","none"
"Nature Sciences Societes","ecology","EDP Science","For-profit","diamond_OA","Association Natures Sciences Societes - Dialogues","Society","https://www.nss-journal.org/fr/","0","0.17","none"
"People & Nature","ecology","Wiley","For-profit","OA","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/25758314","2120","1.91","none"
"Weed Research","ecology","Wiley","For-profit","hybrid","European Weed Research Society","Society","https://onlinelibrary.wiley.com/journal/13653180","3040","0.43","none"
"FEMS Microbiology Ecology","ecology","Oxford University Press","For-profit","hybrid","Federation of European Microbiological Societies","Society","https://academic.oup.com/femsec","3200","1.092","none"
"Journal of Animal Ecology","ecology","Wiley","For-profit","hybrid","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/13652656","2830","1.969","none"
"Journal of Plant Ecology","ecology","Oxford University Press","For-profit","OA","Botanical Society of China and Institute of Botany / Chinese Academy of Sciences","Society","https://academic.oup.com/jpe","1945","0.584","none"
"Journal of Pollination Ecology","ecology","International Commission on Plant Pollinator Relations","Non-profit","diamond_OA","International Commission on Plant Pollinator Relations","Society","https://pollinationecology.org/","0","0.153","PCI friendly"
"Plant Ecology and Diversity","ecology","Taylor & Francis","For-profit","hybrid","Botanical Society of Scotand","Society","https://www.tandfonline.com/toc/tped20/current","3505","0.713","none"
"Plant Sociology","ecology","Pensoft","For-profit","OA","Societa Italiana di Scienza della Vegetazione","Society","https://plantsociology.arphahub.com/","350","0.411","none"
"African Zoology","evolution/systematics","Taylor & Francis","For-profit","hybrid","Zoological Society of Southern Africa","Society","https://www.nisc.co.za/products/59/journals/african-zoology","955","0.335","none"
"American Naturalist","evolution/systematics","University of Chicago Press","University Press","hybrid","American Society of Naturalists","Society","https://www.journals.uchicago.edu/toc/an/current","2290","1.667","none"
"Amphibia-Reptilia","evolution/systematics","Brill","For-profit","hybrid","Societas Europaea Herpetologica","Society","https://brill.com/view/journals/amre/amre-overview.xml","2295","0.628","none"
"Animal Biodiversity and Conservation","evolution/systematics","Museu de Ciencies Naturals de Barcelona","Non-profit","diamond_OA","Museu de Ciencies Naturals de Barcelona","Museum","http://abc.museucienciesjournals.cat/about/?lang=en","0","0.356","none"
"Annales Botanici Fennici","evolution/systematics","BioOne","Non-profit","hybrid","Finnish Zoological and Botanical Publishing Board","Uni/Gov","http://www.sekj.org/AnnBot.html","600","0.307","none"
"Annales Zoologici","evolution/systematics","BioOne","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Uni/Gov","https://miiz.waw.pl/en/26-wydawnictwa/annales-zoologici/173-azedt","","0.486","none"
"Annales Zoologici Fennici","evolution/systematics","BioOne","Non-profit","hybrid","Finnish Zoological and Botanical Publishing Board","Uni/Gov","http://www.sekj.org/AnnZool.html","600","0.335","none"
"Annual Review of Ecology Evolution and Systematics","evolution/systematics","Annual Reviews","Non-profit","subscription","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/ecolsys","","6.234","none"
"Arthropod Systematics and Phylogeny","evolution/systematics","Senckenberg","Non-profit","diamond_OA","Senckenberg Gesellschaft fur Naturforschung Dresden","Museum","https://arthropod-systematics.arphahub.com/","0","1.034","none"
"Australian Journal of Zoology","evolution/systematics","CSIRO publishing","Non-profit","hybrid","Commonwealth Scientific and Industrial Research Organisation","Uni/Gov","https://www.publish.csiro.au/zo","2500","0.335","none"
"Australian Systematic Botany","evolution/systematics","CSIRO publishing","Non-profit","hybrid","Commonwealth Scientific and Industrial Research Organisation","Uni/Gov","https://www.publish.csiro.au/SB","2500","0.551","none"
"Bangladesh Journal of Zoology","evolution/systematics","Bangladesh Journals Online","Non-profit","diamond_OA","Zoological Society of Bangladesh","Society","https://www.banglajol.info/index.php/BJZ","0","","none"
"Belgian Journal of Zoology","evolution/systematics","Royal Belgian Zoological Society","Non-profit","diamond_OA","Royal Belgian Zoological Society","Society","https://www.belgianjournalofzoology.eu/BJZ","0","0.328","PCI friendly"
"Biological Journal of the Linnean Society","evolution/systematics","Oxford University Press","University Press","hybrid","Linnean Society","Society","https://academic.oup.com/biolinnean","2871","0.771","none"
"Biosystema","evolution/systematics","Editions Materiologiques","For-profit","subscription","Societe Francaise de Systematique","Society","https://materiologiques.com/fr/19-biosystema-1142-7833","","","none"
"Botanical Review","evolution/systematics","Springer","For-profit","hybrid","The New York Botanical Garden","Museum","https://www.springer.com/journal/12229","2790","0.945","none"
"Bulletin de la Societe Zoologique de France","evolution/systematics","Societe zoologique de France","Non-profit","OA","Societe Zoologique de France","Society","https://societe-zoologique.fr/index.php/bulletin-et-memoires","160","0.104","none"
"Bulletin of Zoological Nomenclature","evolution/systematics","BioOne","Non-profit","diamond_OA","International Commission on Zoological Nomenclature","Uni/Gov","https://www.iczn.org/submitting-to-the-bulletin-of-zoological-nomenclature/","0","","none"
"Canadian Journal of Zoology","evolution/systematics","Canadian Science Publishing","Non-profit","hybrid","Canadian Society of Zoologists","Society","https://cdnsciencepub.com/journal/cjz","2752","0.575","PCI friendly"
"Cladistics","evolution/systematics","Wiley","For-profit","hybrid","Willi Hennig Society","Society","https://onlinelibrary.wiley.com/journal/10960031","3170","1.5","none"
"Comparative Parasitology","evolution/systematics","BioOne","Non-profit","subscription","Helminthological Society of Washington","Society","https://bioone.org/journals/comparative-parasitology","","0.301","none"
"Contributions to Zoology","evolution/systematics","Brill","For-profit","OA","Naturalis Biodiversity Center","Museum","https://brill.com/view/journals/ctoz/ctoz-overview.xml","1330","0.643","none"
"Current Zoology","evolution/systematics","Oxford University Press","University Press","diamond_OA","China Zoological Society","Society","https://academic.oup.com/cz","0","0.937","none"
"European Journal of Taxonomy","evolution/systematics","European Journal of Taxonomy Consortium","Non-profit","diamond_OA","European Journal of Taxonomy Consortium","Museum","https://europeanjournaloftaxonomy.eu/index.php/ejt","0","0.563","PCI friendly"
"European Zoological Journal","evolution/systematics","Taylor & Francis","For-profit","OA","Italian Society of Zoologists","Society","https://www.tandfonline.com/journals/tizo21","965","0.436","PCI friendly"
"Evolution","evolution/systematics","Oxford University Press","University Press","hybrid","Society for the Study of Evolution","Society","https://academic.oup.com/evolut","2752","1.56","PCI friendly"
"Evolution Letters","evolution/systematics","Oxford University Press","University Press","OA","Society for the Study of Evolution / European Society for Evolutionary Biology","Society","https://academic.oup.com/evlett","2293","2.775","PCI friendly"
"Evolutionary Journal of the Linnean Society","evolution/systematics","Oxford University Press","University Press","OA","Linnean Society","Society","https://academic.oup.com/evolinnean","1868","","none"
"Evolutionary Systematics","evolution/systematics","Pensoft","For-profit","OA","Center of Natural History at the University of Hamburg","Uni/Gov","https://evolsyst.pensoft.net/","420","0.568","none"
"Gayana","evolution/systematics","Universidad de Concepcion Ediciones","Non-profit","OA","Universidad de Concepcion","Uni/Gov","https://gayana.cl","321","0.293","none"
"Ideas in Ecology and Evolution","evolution/systematics","Open Journal Systems","Non-profit","OA","Queen's University","Uni/Gov","https://ojs.library.queensu.ca/index.php/IEE","183","","none"
"Insect Systematics and Diversity","evolution/systematics","Oxford University Press","University Press","hybrid","Entomological Society of America","Society","https://academic.oup.com/isd","3642","1.016","none"
"Integrative and Comparative Biology","evolution/systematics","Oxford University Press","University Press","hybrid","Society for Integrative and Comparative Biology","Society","https://academic.oup.com/icb","3953","1.097","none"
"Integrative Zoology","evolution/systematics","Wiley","For-profit","hybrid","International Society of Zoological Sciences / Institute of Zoology/Chinese Academy of Sciences","Society","https://onlinelibrary.wiley.com/journal/17494877","3140","0.665","none"
"International Journal of Systematic and Evolutionary Microbiology","evolution/systematics","Microbiology Society","Non-profit","hybrid","International Union of Microbiological Societies","Society","https://www.microbiologyresearch.org/content/journal/ijsem","1930","0.835","none"
"Invertebrate Systematics","evolution/systematics","CSIRO publishing","Non-profit","hybrid","Commonwealth Scientific and Industrial Research Organisation","Uni/Gov","https://www.publish.csiro.au/is","2500","1.038","none"
"Journal of Evolutionary Biology","evolution/systematics","Wiley","For-profit","hybrid","European Society for Evolutionary Biology","Society","https://onlinelibrary.wiley.com/journal/14209101","2580","0.934","PCI friendly"
"Journal of Mammalian Evolution","evolution/systematics","Springer","For-profit","hybrid","Society for the Study of Mammalian Evolution","Society","https://www.springer.com/journal/10914","2690","0.887","none"
"Journal of Mammalogy","evolution/systematics","Oxford University Press","University Press","hybrid","American Society of Mammalogists","Society","https://academic.oup.com/jmammal","2512","0.798","none"
"Journal of Systematics and Evolution","evolution/systematics","Wiley","For-profit","hybrid","Institute of Botany Chinese Academy of Sciences","Uni/Gov","https://onlinelibrary.wiley.com/journal/17596831","2500","1.125","none"
"Journal of the National Museum (Prague)  Natural History Series","evolution/systematics","National Museum of Prague","Non-profit","diamond_OA","National Museum of Prague","Museum","https://publikace.nm.cz/en/periodicals/jotnmpnhs","0","","none"
"Mammalian Biology","evolution/systematics","Springer","For-profit","hybrid","German Society for Mammalian Biology","Society","https://www.springer.com/journal/42991","2190","0.636","none"
"Memoires du Museum d Histoire Naturelle","evolution/systematics","Museum National d'Histoire Naturelle","Non-profit","subscription","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/collections/memoires-du-museum-national-d-histoire-naturelle","","","none"
"Methods in Ecology and Evolution","evolution/systematics","Wiley","For-profit","OA","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/2041210X","2950","2.992","none"
"New Phytologist","evolution/systematics","Wiley","For-profit","hybrid","New Phytologist Foundation","Non-profit","https://nph.onlinelibrary.wiley.com/journal/14698137","4620","3.009","none"
"Novitates Caribaea","evolution/systematics","Museo Nacional de Historia Natural de Republica Dominicana","Non-profit","diamond_OA","Museo Nacional de Historia Natural de Republica Dominicana","Museum","http://novitatescaribaea.do/","0","","none"
"Organisms Diversity & Evolution","evolution/systematics","Springer","For-profit","hybrid","Gesellschaft fuer Biologische Systematik","Society","https://www.springer.com/journal/13127","2590","0.685","none"
"Peer Community In Evolutionary Biology","evolution/systematics","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://evolbiol.peercommunityin.org/","0","","PCI"
"Peer Community In Zoology","evolution/systematics","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://zool.peercommunityin.org/","0","","PCI"
"Persoonia","evolution/systematics","Naturalis Biodiversity Center","Non-profit","diamond_OA","Naturalis Biodiversity Center and the Westerdijk Fungal Biodiversity Institute","Uni/Gov","https://www.persoonia.org/","0","3.725","none"
"Plant Ecology and Evolution","evolution/systematics","Meise Botanic Garden / Royal Botanical Society of Belgium","Non-profit","diamond_OA","Meise Botanic Garden / Royal Botanical Society of Belgium","Society","https://plecevo.eu/","0","0.382","none"
"Raffles Bulletin of Zoology","evolution/systematics","Lee Kong Chian Natural History Museum","Non-profit","diamond_OA","Lee Kong Chian Natural History Museum","Museum","https://lkcnhm.nus.edu.sg/publications/raffles-bulletin-of-zoology/","0","0.4","none"
"Records of the Australian Museum","evolution/systematics","Australian Museum","Non-profit","diamond_OA","Australian Museum","Museum","https://australian.museum/learn/publications/records-of-the-australian-museum-journal/","0","0.244","none"
"Revue Suisse de Zoologie","evolution/systematics","BioOne","Non-profit","OA","Geneva Museum / Swiss Zoological Society","Society","https://bioone.org/journals/revue-suisse-de-zoologie","153","0.377","none"
"Systematic Biology","evolution/systematics","Oxford University Press","University Press","hybrid","Society of Systematic Biologists","Society","https://academic.oup.com/sysbio","1820","6.183","none"
"Systematic Botany","evolution/systematics","BioOne","Non-profit","hybrid","American Society of Plant Taxonomists","Society","https://www.aspt.net/publications/sysbot","459","0.409","none"
"Systematic Entomology","evolution/systematics","Wiley","For-profit","hybrid","The Royal Entomological Society","Society","https://onlinelibrary.wiley.com/journal/13653113","3600","1.539","none"
"Taxon","evolution/systematics","Wiley","For-profit","hybrid","International Association for Plant Taxonomy","Society","https://onlinelibrary.wiley.com/journal/19968175","2200","0.709","none"
"Transactions of the American Entomological Society","evolution/systematics","BioOne","Non-profit","subscription","The American Entomological Society","Society","https://bioone.org/journals/transactions-of-the-american-entomological-society","","0.268","none"
"Zoologia","evolution/systematics","Sociedade Brasileira de Zoologia","Non-profit","OA","Sociedade Brasileira de Zoologia","Society","http://www.sbzoologia.org.br/revista-zoologia.php","229","0.31","none"
"Zoologica Scripta","evolution/systematics","Wiley","For-profit","hybrid","Norwegian Academy of Science and Letters / Royal Swedish Academy of Sciences","Uni/Gov","https://onlinelibrary.wiley.com/journal/14636409","3090","0.974","none"
"Zoological Journal of the Linnean Society","evolution/systematics","Oxford University Press","University Press","hybrid","Linnean Society","Society","https://academic.oup.com/zoolinnean","2872","1.112","none"
"Zoological Research","evolution/systematics","Science Press Ltd","Non-profit","OA","Kunming Institute of Zoology / Chinese Academy of Sciences / China Zoological Society","Society","https://www.zoores.ac.cn/","1378","","none"
"Zoological Science","evolution/systematics","BioOne","Non-profit","hybrid","Zoological Society of Japan","Society","https://bioone.org/journals/zoological-science","635","0.294","none"
"Zoological Studies","evolution/systematics","Academia Sinica Taiwan","Non-profit","diamond_OA","Biodiversity Research Center Academia Sinica Taiwan","Uni/Gov","https://zoolstud.sinica.edu.tw/","0","0.675","none"
"Zoosystema","evolution/systematics","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/zoosystema","0","0.673","PCI friendly"
"Zoosystematics and Evolution","evolution/systematics","Pensoft","For-profit","OA","Museum for Natural History Berlin","Museum","https://zse.pensoft.net/","0","0.694","none"
"Anais da Academia Brasileira de Ciencias","general","Academia Brasileira de Ciencias","Non-profit","subscription","The Brazilian Academy of Sciences (BAS)","non-profit","https://www.abc.org.br/en/publicacoes/anais-abc/","","0.378","none"
"Annals of the New York Academy of Sciences","general","Wiley","For-profit","hybrid","The New York Academy of Science","Society","https://nyaspubs.onlinelibrary.wiley.com/journal/17496632","4170","","none"
"Biological Reviews","general","Wiley","For-profit","hybrid","Cambridge Philosophical Society","Society","https://onlinelibrary.wiley.com/journal/1469185x","4070","4.388","none"
"Biology Letters","general","The Royal Society","Non-profit","hybrid","The Royal Society","Society","https://royalsocietypublishing.org/journal/rsbl","2040","1.293","none"
"Biology Open","general","The Company of Biologists","Non-profit","OA","The Company of Biologists","Non-profit","https://journals.biologists.com/bio","1839","0.765","none"
"Bioscience","general","Oxford University Press","University Press","hybrid","American Institute of Biological Sciences","Non-profit","https://academic.oup.com/bioscience","4339","2.26","none"
"Cold Spring Harbor Perspectives in Biology","general","Cold Spring Harbor Laboratory Press","Non-profit","subscription","Cold Spring Harbor Laboratory","Non-profit","https://cshperspectives.cshlp.org/","","4.738","none"
"Comptes Rendus Biologies","general","Academie des Sciences","Non-profit","diamond_OA","Academie des Sciences","Uni/Gov","https://comptes-rendus.academie-sciences.fr/biologies","0","0.389","none"
"eLife","general","eLife Sciences Publications","Non-profit","OA","Howard Hughes Medical Institute / Max Planck Society / Wellcome Trust","Non-profit","https://elifesciences.org/","1844","4.752","none"
"Interface Focus","general","The Royal Society","Non-profit","hybrid","The Royal Society","Society","https://royalsocietypublishing.org/journal/rsfs","2040","1.01","none"
"Journal of Biological Research Thessaloniki","general","Aristotle University of Thessaloniki","Non-profit","OA","Aristotle University of Thessaloniki","Uni/Gov","https://ejournals.lib.auth.gr/jbiolres/index","1000","0.52","none"
"Journal of Experimental Biology","general","The Company of Biologists","Non-profit","hybrid","The Company of Biologists","Non-profit","https://journals.biologists.com/jeb","3205","1.159","none"
"National Science Review","general","Oxford University Press","University Press","OA","Chinese Academy of Sciences","Uni/Gov","https://academic.oup.com/nsr","1750","","none"
"Open Biology","general","The Royal Society","Non-profit","OA","The Royal Society","Society","https://royalsocietypublishing.org/journal/rsob","1800","2.143","none"
"Open Research Europe","general","Faculty of 1000 Research Limited","For-profit","diamond_OA","European Commission","Uni/Gov","https://open-research-europe.ec.europa.eu/","0","","none"
"Peer Community In Registered Reports","general","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://rr.peercommunityin.org/about/about","0","","PCI"
"Peer Community Journal","general","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://peercommunityin.org/pc-journal/","0","","PCI"
"Philosophical Transactions of the Royal Society B","general","The Royal Society","Non-profit","hybrid","The Royal Society","Society","https://royalsocietypublishing.org/journal/rstb","2040","2.151","none"
